,index,Country,Date,Vaccine_Manufacturer,Protection from Alpha var- Severe Disease,Protection from Alpha var - Infection,Protection from Delta var - Severe Disease,Protection from Delta var - Infection,Protection from Omicron var - Severe Disease,Protection from Omicron var - Infection,Total_Vaccinations
0,102,Latvia,2021-05-23,Sinovac,4.0,4.0,4.0,4.0,3.0,2.0,9
1,107,Latvia,2021-08-24,Sinopharm/Beijing,20.0,18.0,19.0,18.0,14.0,9.0,27
2,195,Ukraine,2021-09-19,Johnson&Johnson,17785.0,14890.0,15717.0,13235.0,11788.0,6824.0,20680
3,183,Sweden,2021-11-05,Oxford/AstraZeneca,1242738.0,832899.0,1242738.0,912223.0,938664.0,475942.0,1322062
4,44,Czechia,2021-11-17,Sinopharm/Beijing,28.0,26.0,27.0,25.0,20.0,13.0,38
5,77,Hungary,2021-11-19,Sputnik V,1662801.0,1554357.0,1608579.0,1536283.0,1210953.0,795252.0,1807392
6,116,Luxembourg,2021-12-03,Oxford/AstraZeneca,98795.0,66214.0,98795.0,72520.0,74622.0,37836.0,105101
7,45,Czechia,2021-12-16,Covaxin,4.0,4.0,4.0,4.0,3.0,2.0,5
8,83,Iceland,2022-01-05,Oxford/AstraZeneca,1.0,1.0,1.0,1.0,1.0,0.0,1
9,160,Slovakia,2022-01-14,Sputnik V,34945.0,32666.0,33806.0,32286.0,25449.0,16713.0,37984
10,55,Ecuador,2022-01-28,Sinovac,7906468.0,7432079.0,7748338.0,7273950.0,5850786.0,3795104.0,15812935
11,52,Ecuador,2022-01-28,CanSino,354342.0,332867.0,343604.0,327498.0,257703.0,171802.0,536882
12,54,Ecuador,2022-01-28,Pfizer/BioNTech,8125045.0,7355304.0,8125045.0,7184250.0,6157929.0,3763179.0,8552679
13,53,Ecuador,2022-01-28,Oxford/AstraZeneca,4708613.0,3155773.0,4708613.0,3456322.0,3556506.0,1803299.0,5009163
14,130,Netherlands,2022-02-04,Oxford/AstraZeneca,2324847.0,1558142.0,2324847.0,1706537.0,1756002.0,890367.0,2473242
15,148,Portugal,2022-02-11,Covaxin,68.0,64.0,66.0,63.0,50.0,33.0,87
16,191,Ukraine,2022-02-23,Moderna,2953552.0,2801307.0,2953552.0,2770858.0,2222776.0,1461552.0,3044899
17,192,Ukraine,2022-02-23,Oxford/AstraZeneca,3798998.0,2546137.0,3798998.0,2788626.0,2869456.0,1454935.0,4041487
18,193,Ukraine,2022-02-23,Pfizer/BioNTech,14035312.0,12705651.0,14035312.0,12410171.0,10637289.0,6500566.0,14774013
19,194,Ukraine,2022-02-23,Sinovac,4901116.0,4607049.0,4803093.0,4509026.0,3626825.0,2352535.0,9802231
20,84,Iceland,2022-02-25,Moderna,6298.0,5974.0,6298.0,5909.0,4740.0,3117.0,6493
21,156,Romania,2022-02-25,Oxford/AstraZeneca,798585.0,535222.0,798585.0,586196.0,603187.0,305841.0,849559
22,35,Cyprus,2022-03-11,Oxford/AstraZeneca,239259.0,160355.0,239259.0,175626.0,180717.0,91631.0,254531
23,101,Latvia,2022-03-16,Oxford/AstraZeneca,246320.0,165087.0,246320.0,180810.0,186051.0,94335.0,262043
24,85,Iceland,2022-03-24,Johnson&Johnson,73.0,61.0,65.0,54.0,48.0,28.0,85
25,86,Iceland,2022-03-28,Pfizer/BioNTech,72730.0,65840.0,72730.0,64309.0,55122.0,33686.0,76558
26,46,Czechia,2022-04-20,Sinovac,126.0,118.0,123.0,116.0,93.0,60.0,252
27,165,Slovakia,2022-04-22,Oxford/AstraZeneca,793517.0,531825.0,793517.0,582475.0,599359.0,303900.0,844167
28,17,Bulgaria,2022-04-22,Oxford/AstraZeneca,449834.0,301485.0,449834.0,330197.0,339768.0,172277.0,478547
29,112,Lithuania,2022-04-29,Oxford/AstraZeneca,504305.0,337992.0,504305.0,370182.0,380911.0,193138.0,536495
30,78,Hungary,2022-04-29,Oxford/AstraZeneca,1177351.0,789076.0,1177351.0,864226.0,889276.0,450900.0,1252501
31,27,Chile,2022-04-30,Oxford/AstraZeneca,516693.0,346294.0,516693.0,379274.0,390268.0,197882.0,549673
32,159,Romania,2022-06-11,Pfizer/BioNTech,12268717.0,11106418.0,12268717.0,10848129.0,9298396.0,5682353.0,12914439
33,158,Romania,2022-06-11,Moderna,978570.0,928128.0,978570.0,918040.0,736450.0,484241.0,1008835
34,157,Romania,2022-06-11,Johnson&Johnson,1767002.0,1479350.0,1561536.0,1314978.0,1171152.0,678035.0,2054653
35,108,Liechtenstein,2022-06-17,Johnson&Johnson,227.0,190.0,201.0,169.0,150.0,87.0,264
36,68,France,2022-06-29,Oxford/AstraZeneca,7390224.0,4953022.0,7390224.0,5424739.0,5581977.0,2830298.0,7861940
37,128,Nepal,2022-07-04,Pfizer/BioNTech,1707703.0,1545921.0,1707703.0,1509969.0,1294259.0,790936.0,1797582
38,125,Nepal,2022-07-04,Johnson&Johnson,3176344.0,2659265.0,2807001.0,2363791.0,2105251.0,1218830.0,3693423
39,126,Nepal,2022-07-04,Moderna,7116156.0,6749344.0,7116156.0,6675981.0,5355457.0,3521397.0,7336243
40,127,Nepal,2022-07-04,Oxford/AstraZeneca,13243048.0,8875660.0,13243048.0,9720961.0,10002728.0,5071806.0,14088349
41,129,Nepal,2022-07-04,Sinopharm/Beijing,14579909.0,13581285.0,14180459.0,13381560.0,10585413.0,6990367.0,19972478
42,106,Latvia,2022-07-11,Pfizer/BioNTech,1543165.0,1396970.0,1543165.0,1364483.0,1169556.0,714729.0,1624384
43,105,Latvia,2022-07-11,Novavax,390.0,364.0,377.0,359.0,285.0,188.0,438
44,104,Latvia,2022-07-11,Moderna,693947.0,658176.0,693947.0,651022.0,522249.0,343396.0,715409
45,103,Latvia,2022-07-11,Johnson&Johnson,252705.0,211567.0,223321.0,188060.0,167491.0,96968.0,293843
46,94,Italy,2022-07-12,Oxford/AstraZeneca,11437239.0,7665384.0,11437239.0,8395420.0,8638766.0,4380219.0,12167276
47,117,Luxembourg,2022-07-12,Johnson&Johnson,35705.0,29892.0,31553.0,26571.0,23665.0,13701.0,41517
48,179,Spain,2022-07-15,Oxford/AstraZeneca,9206922.0,6170597.0,9206922.0,6758273.0,6954165.0,3526055.0,9794598
49,36,Cyprus,2022-07-29,Moderna,191661.0,181782.0,191661.0,179806.0,144240.0,94843.0,197589
50,149,Portugal,2022-08-12,Novavax,131.0,122.0,126.0,121.0,96.0,63.0,147
51,56,Estonia,2022-08-12,Oxford/AstraZeneca,224573.0,150511.0,224573.0,164846.0,169624.0,86007.0,238907
52,62,Finland,2022-08-19,Oxford/AstraZeneca,520556.0,348883.0,520556.0,382110.0,393186.0,199362.0,553783
53,12,Belgium,2022-08-19,Oxford/AstraZeneca,2677638.0,1794587.0,2677638.0,1965500.0,2022471.0,1025478.0,2848551
54,28,Chile,2022-08-30,Pfizer/BioNTech,7664338.0,6938243.0,7664338.0,6776888.0,5808761.0,3549799.0,8067724
55,29,Chile,2022-08-30,Sinovac,12971698.0,12193396.0,12712264.0,11933962.0,9599056.0,6226415.0,25943395
56,38,Cyprus,2022-09-02,Novavax,797.0,743.0,770.0,734.0,582.0,385.0,895
57,151,Portugal,2022-09-02,Sinopharm/Beijing,2666.0,2483.0,2593.0,2447.0,1936.0,1278.0,3652
58,131,Netherlands,2022-09-02,Johnson&Johnson,649555.0,543813.0,574025.0,483389.0,430519.0,249248.0,755296
59,132,Netherlands,2022-09-02,Moderna,8194932.0,7772513.0,8194932.0,7688029.0,6167320.0,4055224.0,8448384
