,Country,Total_Vaccinations,Protection from Ancestral var - Severe Disease,Protection from Ancestral var - Infection,Protection from Alpha var- Severe Disease,Protection from Alpha var - Infection,Protection from Beta var - Severe Disease,Protection from Beta var - Infection,Protection from Gamma var - Severe Disease,Protection from Gamma var - Infection,Protection from Delta var - Severe Disease,Protection from Delta var - Infection,Protection from Omicron var - Severe Disease,Protection from Omicron var - Infection,Ancestral-Protection from Severe Disease,Ancestral-Protection from Infection,Alpha-Protection from Severe Disease,Alpha-Protection from Infection,Beta-Protection from Severe Disease,Beta-Protection from Infection,Gamma-Protection from Severe Disease,Gamma-Protection from Infection,Delta-Protection from Severe Disease,Delta-Protection from Infection,Omicron-Protection from Severe Disease,Omicron-Protection from Infection,vaccine % in each country,Om-Sev-efficacypervaccine,Om-Inf-efficacypervaccine,Alpha-Sev-efficacypervaccine,Alpha-Inf-efficacypervaccine,Delta-Sev-efficacypervaccine,Delta-Inf-efficacypervaccine,Psb-Svr_Om,Psb-Inf_Om,Psb-Svr_Alpha,Psb-Inf_Alpha,Psb-Svr_Delta,Psb-Inf_Delta,people_vaccinated,Total_Pop,people_protected_sd_alpha,people_protected_inf_alpha,people_protected_sd_delta,people_protected_inf_delta,people_protected_sd_Om,people_protected_inf_Om,percent_protected_SD_Al,percent_protected_inf_Al,percent_protected_SD_Dt,percent_protected_inf_Dt,percent_protected_SD_Om,percent_protected_inf_Om
0,Argentina,109748183,96998627.0,83590743.0,96998627.0,83590743.0,95779189.0,84175044.0,95779189.0,84175044.0,95779189.0,84175044.0,72124501.0,43961947.0,5.17,4.57,5.17,4.57,5.1,4.57,5.1,4.57,5.1,4.57,3.84,2.39,1.0,0.6571817379427594,0.400571078794079,0.8838290005220406,0.7616594702073565,0.8727177710085642,0.766983489375856,0.34281826205724064,0.599428921205921,0.11617099947795939,0.11617099947795939,0.12728222899143582,0.23301651062414397,41376166,45195774,36569455.44121404,31514548.674771637,36109715.36440034,31734836.175674655,27191660.68128811,16574095.450982893,0.8091343991855088,0.6972897217065391,0.7989622074931241,0.7021637946874116,0.6016416641362997,0.3667178141695923
1,Austria,19366552,18381123.0,16335659.0,18381123.0,16335659.0,18343872.0,16070266.0,18343872.0,16070266.0,18343872.0,16070266.0,13888142.0,8419049.0,5.359999999999999,4.66,5.359999999999999,4.66,5.21,4.59,5.21,4.59,5.21,4.59,3.9299999999999997,2.4,1.0,0.7171199406068772,0.43472113466558215,0.9491169088849682,0.8434985809554535,0.9471935215933119,0.8297949268408749,0.2828800593931228,0.5652788653344178,0.05088309111503175,0.05088309111503175,0.05280647840668806,0.17020507315912514,6894948,9006398,6544111.732682594,5815878.853761642,6530850.077322763,5721392.871231636,4944504.700247507,2997379.618020186,0.7266069890185393,0.645749705238614,0.725134518519253,0.6352587206596506,0.5489991337544162,0.33280559198252024
2,Belgium,25878422,24603814.0,21799360.0,24603814.0,21799360.0,24561004.0,21527169.0,24561004.0,21527169.0,24561004.0,21527169.0,18582925.0,11284215.0,4.609999999999999,3.96,4.609999999999999,3.96,4.4799999999999995,3.9,4.4799999999999995,3.9,4.4799999999999995,3.9,3.38,2.04,1.0,0.7180856974200359,0.4360472582138123,0.9507462630449415,0.8423759536033534,0.9490920300318157,0.8318578872390288,0.2819143025799641,0.5639527417861877,0.049253736955058525,0.049253736955058525,0.05090796996818425,0.16814211276097124,9262734,11589623,8806509.736079322,7802704.386224204,8791187.015704721,7705278.335297118,6651436.804406279,4038989.7642638586,0.759861622425451,0.6732491976852227,0.7585395155394374,0.6648428801607367,0.5739131293922398,0.3485005305404549
3,Bulgaria,4548945,4279371.0,3758629.0,4279371.0,3758629.0,4226581.0,3679344.0,4226581.0,3679344.0,4226581.0,3679344.0,3196355.0,1925522.0,3.7199999999999998,3.13,3.7199999999999998,3.13,3.62,3.08,3.62,3.08,3.62,3.08,2.73,1.6099999999999999,1.0,0.7026585548956956,0.4232897605928408,0.9407391867784728,0.826263889759054,0.9291343861049101,0.8088347254143543,0.2973414451043044,0.5767102394071593,0.05926081322152721,0.05926081322152721,0.07086561389508994,0.1911652745856457,2104168,6948445,1979473.2931652856,1738598.036386529,1955054.8429415964,1701924.146505671,1478511.646137766,890672.7689671166,0.2848800405220572,0.2502139739735335,0.28136580816882,0.2449359743806954,0.21278309695734313,0.1281830350484341
4,Canada,90191204,86186723.0,78523692.0,86186723.0,78523692.0,86183633.0,77212349.0,86183633.0,77212349.0,86183633.0,77212349.0,65172639.0,40529949.0,5.5,4.71,5.5,4.71,5.37,4.65,5.37,4.65,5.37,4.65,4.03,2.4699999999999998,1.0,0.7226052583797418,0.44937806196710706,0.9556000997613914,0.8706358101173591,0.9555658321181741,0.8560962208687224,0.27739474162025823,0.5506219380328929,0.044399900238608625,0.044399900238608625,0.04443416788182586,0.1439037791312776,34367278,37742154,32841374.28532747,29921382.923058495,32840196.59970662,29421696.817344785,24833975.798998415,15443900.782724796,0.8701510328564573,0.7927841882860871,0.8701198294010093,0.779544718548517,0.657990420975931,0.4091950020320726
5,Chile,34560792,21152729.0,19477933.0,21152729.0,19477933.0,20893295.0,19090124.0,20893295.0,19090124.0,20893295.0,19090124.0,15798085.0,9974096.0,2.3899999999999997,1.96,2.3899999999999997,1.96,2.38,1.99,2.38,1.99,2.38,1.99,1.7999999999999998,1.04,1.0,0.45711004713086434,0.28859569074690183,0.6120440735270187,0.5635846620644572,0.6045374761666341,0.5523636214702488,0.5428899528691357,0.7114043092530982,0.38795592647298127,0.38795592647298127,0.3954625238333659,0.44763637852975124,18080462,19116201,11066039.613730468,10189871.06623926,10930316.865406733,9986989.468175218,8264760.836967802,5217943.41991311,0.5788827818733685,0.5330489602112501,0.5717829010799129,0.5224358892321345,0.4323432693016673,0.2729592255235813
6,Croatia,5283799,5005746.0,4415566.0,5005746.0,4415566.0,4985254.0,4348270.0,4985254.0,4348270.0,4985254.0,4348270.0,3773032.0,2277500.0,4.609999999999999,3.96,4.609999999999999,3.96,4.4799999999999995,3.9,4.4799999999999995,3.9,4.4799999999999995,3.9,3.38,2.04,1.0,0.7140756073423686,0.43103462489772987,0.9473761019296911,0.8356802387827396,0.9434977693133293,0.8229437077375577,0.28592439265763137,0.5689653751022701,0.05262389807030887,0.05262389807030887,0.05650223068667071,0.17705629226244235,2320323,4105267,2198218.558957807,1939048.0786930826,2189219.574586412,1909495.212768733,1656886.0554554667,1000139.5539465753,0.5354629939923047,0.47233178224292904,0.5332709357482502,0.46513301394738343,0.40360007167754663,0.24362350949318895
7,Cyprus,1744448,1655792.0,1449177.0,1655792.0,1449177.0,1652668.0,1434777.0,1652668.0,1434777.0,1652668.0,1434777.0,1250726.0,751683.0,4.609999999999999,3.96,4.609999999999999,3.96,4.4799999999999995,3.9,4.4799999999999995,3.9,4.4799999999999995,3.9,3.38,2.04,1.0,0.7169750775030267,0.4309002618593389,0.9491779175991488,0.8307364507282533,0.9473874658344645,0.8224819541769086,0.2830249224969733,0.5690997381406611,0.050822082400851176,0.050822082400851176,0.05261253416553546,0.17751804582309139,669939,1207359,635891.3049384562,556542.7470644353,634691.8114736753,551012.7378993239,480329.5664473002,288676.8905297836,0.5266795583902187,0.46095879275711305,0.5256860730517396,0.4563785401850849,0.39783491608320326,0.23909780813311005
8,Czechia,18239132,17312999.0,15521242.0,17312999.0,15521242.0,17271296.0,15219089.0,17271296.0,15219089.0,17271296.0,15219089.0,13076741.0,7973921.0,6.62,5.84,6.62,5.84,6.4399999999999995,5.75,6.4399999999999995,5.75,6.4399999999999995,5.75,4.85,3.01,1.0,0.7169607495575995,0.4371875887514822,0.9492227141072282,0.8509858243254119,0.9469363322772157,0.8344196050557668,0.2830392504424005,0.5628124112485178,0.05077728589277175,0.05077728589277175,0.05306366772278426,0.16558039494423316,6975798,10708981,6621585.910623775,5936305.21135756,6605636.572826737,5820742.612108808,5001373.362842403,3049732.3072374123,0.6183208197515501,0.554329605343175,0.6168314775072191,0.5435384199587998,0.4670260749218253,0.28478267981215133
9,Denmark,12218188,11635953.0,10568516.0,11635953.0,10568516.0,11631312.0,10351047.0,11631312.0,10351047.0,11631312.0,10351047.0,8805780.0,5427247.0,3.7199999999999998,3.13,3.7199999999999998,3.13,3.62,3.08,3.62,3.08,3.62,3.08,2.73,1.6099999999999999,1.0,0.7207108132564338,0.444194051523843,0.9523469339316109,0.8649822338631554,0.951967082189274,0.8471834825262141,0.2792891867435662,0.555805948476157,0.04765306606838915,0.04765306606838915,0.04803291781072605,0.15281651747378588,4802680,5792202,4573817.572654669,4154232.8749298993,4571993.2662887825,4068751.167858998,3461343.4086104096,2133321.8873725305,0.78965090869667,0.7172113256633487,0.7893359496593493,0.7024532583392288,0.5975867914500236,0.3683093040216019
