,Country,Date,Vaccine_Manufacturer,Protection from Alpha var- Severe Disease,Protection from Alpha var - Infection,Protection from Delta var - Severe Disease,Protection from Delta var - Infection,Protection from Omicron var - Severe Disease,Protection from Omicron var - Infection,Total_Vaccinations
0,Finland,2021-01-01,Johnson&Johnson,0,0,0,0,0,0,0
1,Finland,2021-01-01,Novavax,0,0,0,0,0,0,0
2,Latvia,2021-05-23,Sinovac,5,4,4,4,3,2,9
3,Chile,2021-05-31,CanSino,0,0,0,0,0,0,0
4,Latvia,2021-08-24,Sinopharm/Beijing,20,18,19,18,14,9,27
5,Ukraine,2021-09-19,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
6,Ukraine,2021-09-20,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
7,Ukraine,2021-09-21,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
8,Ukraine,2021-09-22,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
9,Ukraine,2021-09-23,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
10,Ukraine,2021-09-24,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
11,Ukraine,2021-09-25,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
12,Ukraine,2021-09-26,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
13,Ukraine,2021-09-27,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
14,Ukraine,2021-09-28,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
15,Ukraine,2021-09-29,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
16,Ukraine,2021-09-30,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
17,Ukraine,2021-10-01,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
18,Ukraine,2021-10-02,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
19,Ukraine,2021-10-03,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
20,Ukraine,2021-10-04,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
21,Ukraine,2021-10-05,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
22,Ukraine,2021-10-06,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
23,Ukraine,2021-10-07,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
24,Ukraine,2021-10-08,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
25,Ukraine,2021-10-09,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
26,Ukraine,2021-10-10,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
27,Ukraine,2021-10-11,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
28,Ukraine,2021-10-12,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
29,Ukraine,2021-10-13,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
30,Ukraine,2021-10-14,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
31,Ukraine,2021-10-15,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
32,Ukraine,2021-10-16,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
33,Ukraine,2021-10-17,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
34,Ukraine,2021-10-18,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
35,Ukraine,2021-10-19,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
36,Ukraine,2021-10-20,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
37,Ukraine,2021-10-21,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
38,Ukraine,2021-10-22,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
39,Ukraine,2021-10-23,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
40,Ukraine,2021-10-24,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
41,Ukraine,2021-10-25,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
42,Ukraine,2021-10-26,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
43,Ukraine,2021-10-27,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
44,Ukraine,2021-10-28,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
45,Ukraine,2021-10-29,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
46,Ukraine,2021-10-30,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
47,Ukraine,2021-10-31,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
48,Ukraine,2021-11-01,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
49,Ukraine,2021-11-02,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
50,Ukraine,2021-11-03,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
51,Ukraine,2021-11-04,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
52,Ukraine,2021-11-05,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
53,Sweden,2021-11-05,Oxford/AstraZeneca,1242738,832899,1242738,912223,938664,475942,1322062
54,Ukraine,2021-11-06,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
55,Ukraine,2021-11-07,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
56,Ukraine,2021-11-08,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
57,Ukraine,2021-11-09,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
58,Ukraine,2021-11-10,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
59,Ukraine,2021-11-11,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
60,Ukraine,2021-11-12,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
61,Ukraine,2021-11-13,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
62,Ukraine,2021-11-14,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
63,Ukraine,2021-11-15,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
64,Ukraine,2021-11-16,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
65,Czechia,2021-11-17,Sinopharm/Beijing,28,26,27,25,20,13,38
66,Ukraine,2021-11-17,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
67,Ukraine,2021-11-18,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
68,Ukraine,2021-11-19,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
69,Hungary,2021-11-19,Sputnik V,1662801,1554357,1608579,1536283,994066,650661,1807392
70,Ukraine,2021-11-20,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
71,Ukraine,2021-11-21,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
72,Ukraine,2021-11-22,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
73,Ukraine,2021-11-23,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
74,Ukraine,2021-11-24,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
75,Ukraine,2021-11-25,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
76,Ukraine,2021-11-26,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
77,Ukraine,2021-11-27,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
78,Ukraine,2021-11-28,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
79,Ukraine,2021-11-29,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
80,Ukraine,2021-11-30,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
81,Ukraine,2021-12-01,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
82,Ukraine,2021-12-02,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
83,Ukraine,2021-12-03,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
84,Luxembourg,2021-12-03,Oxford/AstraZeneca,98795,66214,98795,72520,74622,37836,105101
85,Ukraine,2021-12-04,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
86,Ukraine,2021-12-05,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
87,Ukraine,2021-12-06,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
88,Ukraine,2021-12-07,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
89,Ukraine,2021-12-08,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
90,Ukraine,2021-12-09,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
91,Ukraine,2021-12-10,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
92,Ukraine,2021-12-11,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
93,Ukraine,2021-12-12,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
94,Ukraine,2021-12-13,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
95,Ukraine,2021-12-14,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
96,Ukraine,2021-12-15,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
97,Czechia,2021-12-16,Covaxin,4,4,4,4,3,2,5
98,Ukraine,2021-12-16,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
99,Ukraine,2021-12-17,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
100,Ukraine,2021-12-18,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
101,Ukraine,2021-12-19,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
102,Ukraine,2021-12-20,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
103,Ukraine,2021-12-21,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
104,Ukraine,2021-12-22,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
105,Ukraine,2021-12-23,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
106,Ukraine,2021-12-24,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
107,Ukraine,2021-12-25,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
108,Ukraine,2021-12-26,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
109,Ukraine,2021-12-27,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
110,Ukraine,2021-12-28,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
111,Ukraine,2021-12-29,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
112,Ukraine,2021-12-30,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
113,Ukraine,2021-12-31,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
114,Ukraine,2022-01-01,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
115,Ukraine,2022-01-02,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
116,Ukraine,2022-01-03,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
117,Ukraine,2022-01-04,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
118,Iceland,2022-01-05,Oxford/AstraZeneca,1,1,1,1,1,0,1
119,Ukraine,2022-01-05,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
120,Ukraine,2022-01-06,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
121,Ukraine,2022-01-07,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
122,Ukraine,2022-01-08,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
123,Ukraine,2022-01-09,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
124,Ukraine,2022-01-10,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
125,Ukraine,2022-01-11,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
126,Ukraine,2022-01-12,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
127,Ukraine,2022-01-13,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
128,Slovakia,2022-01-14,Sputnik V,34945,32666,33806,32286,20891,13674,37984
129,Ukraine,2022-01-14,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
130,Ukraine,2022-01-15,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
131,Ukraine,2022-01-16,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
132,Ukraine,2022-01-17,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
133,Ukraine,2022-01-18,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
134,Ukraine,2022-01-19,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
135,Ukraine,2022-01-20,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
136,Ukraine,2022-01-21,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
137,Ukraine,2022-01-22,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
138,Ukraine,2022-01-23,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
139,Ukraine,2022-01-24,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
140,Ukraine,2022-01-25,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
141,Ukraine,2022-01-26,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
142,Ukraine,2022-01-27,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
143,Ukraine,2022-01-28,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
144,Ecuador,2022-01-28,Pfizer/BioNTech,8125045,7355304,8125045,7184250,6157929,3763179,8552679
145,Ecuador,2022-01-28,Sinovac,7906468,7432079,7748338,7273950,5850786,3795104,15812935
146,Ecuador,2022-01-28,CanSino,354342,332867,343604,327498,257703,171802,536882
147,Ecuador,2022-01-28,Oxford/AstraZeneca,4708613,3155773,4708613,3456322,3556506,1803299,5009163
148,Ukraine,2022-01-29,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
149,Ukraine,2022-01-30,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
150,Ukraine,2022-01-31,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
151,Ukraine,2022-02-01,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
152,Ukraine,2022-02-02,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
153,Ukraine,2022-02-03,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
154,Ukraine,2022-02-04,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
155,Netherlands,2022-02-04,Oxford/AstraZeneca,2324847,1558142,2324847,1706537,1756002,890367,2473242
156,Ukraine,2022-02-05,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
157,Ukraine,2022-02-06,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
158,Chile,2022-02-07,Moderna,0,0,0,0,0,0,0
159,Ukraine,2022-02-07,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
160,Ukraine,2022-02-08,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
161,Ukraine,2022-02-09,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
162,Ukraine,2022-02-10,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
163,Ukraine,2022-02-11,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
164,Portugal,2022-02-11,Covaxin,68,64,66,63,50,33,87
165,Ukraine,2022-02-12,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
166,Ukraine,2022-02-13,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
167,Ukraine,2022-02-14,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
168,Ukraine,2022-02-15,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
169,Ukraine,2022-02-16,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
170,Ukraine,2022-02-17,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
171,Ukraine,2022-02-18,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
172,Ukraine,2022-02-19,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
173,Ukraine,2022-02-20,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
174,Ukraine,2022-02-21,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
175,Ukraine,2022-02-22,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
176,Ukraine,2022-02-23,Pfizer/BioNTech,14035312,12705651,14035312,12410171,10637289,6500566,14774013
177,Ukraine,2022-02-23,Sinovac,4901116,4607049,4803093,4509026,3626825,2352535,9802231
178,Ukraine,2022-02-23,Johnson&Johnson,17785,14890,15717,13235,11788,6824,20680
179,Ukraine,2022-02-23,Moderna,2953552,2801307,2953552,2770858,2222776,1461552,3044899
180,Ukraine,2022-02-23,Oxford/AstraZeneca,3798998,2546137,3798998,2788626,2869456,1454935,4041487
181,Iceland,2022-02-25,Moderna,6298,5974,6298,5909,4740,3117,6493
182,Romania,2022-02-25,Oxford/AstraZeneca,798585,535222,798585,586196,603187,305841,849559
183,Cyprus,2022-03-11,Oxford/AstraZeneca,239259,160355,239259,175626,180717,91631,254531
184,Latvia,2022-03-16,Oxford/AstraZeneca,246320,165087,246320,180810,186051,94335,262043
185,Iceland,2022-03-24,Johnson&Johnson,73,61,65,54,48,28,85
186,Iceland,2022-03-28,Pfizer/BioNTech,72730,65840,72730,64309,55122,33686,76558
187,Czechia,2022-04-20,Sinovac,126,118,123,116,93,60,252
188,Bulgaria,2022-04-22,Oxford/AstraZeneca,449834,301485,449834,330197,339768,172277,478547
189,Slovakia,2022-04-22,Oxford/AstraZeneca,793517,531825,793517,582475,599359,303900,844167
190,Lithuania,2022-04-29,Oxford/AstraZeneca,504305,337992,504305,370182,380911,193138,536495
191,Hungary,2022-04-29,Oxford/AstraZeneca,1177351,789076,1177351,864226,889276,450900,1252501
192,Chile,2022-04-30,Oxford/AstraZeneca,516693,346294,516693,379274,390268,197882,549673
193,Romania,2022-06-11,Johnson&Johnson,1767002,1479350,1561536,1314978,1171152,678035,2054653
194,Romania,2022-06-11,Moderna,978570,928128,978570,918040,736450,484241,1008835
195,Romania,2022-06-11,Pfizer/BioNTech,12268717,11106418,12268717,10848129,9298396,5682353,12914439
196,Liechtenstein,2022-06-17,Johnson&Johnson,227,190,201,169,150,87,264
197,France,2022-06-29,Oxford/AstraZeneca,7390224,4953022,7390224,5424739,5581977,2830298,7861940
198,Nepal,2022-07-04,Pfizer/BioNTech,1707703,1545921,1707703,1509969,1294259,790936,1797582
199,Nepal,2022-07-04,Oxford/AstraZeneca,13243048,8875660,13243048,9720961,10002728,5071806,14088349
200,Nepal,2022-07-04,Moderna,7116156,6749344,7116156,6675981,5355457,3521397,7336243
