,Country,Date,Vaccine_Manufacturer,Total_Vaccinations,Protection from Ancestral var - Severe Disease,Protection from Ancestral var - Infection,Protection from Alpha var- Severe Disease,Protection from Alpha var - Infection,Protection from Beta var - Severe Disease,Protection from Beta var - Infection,Protection from Gamma var - Severe Disease,Protection from Gamma var - Infection,Protection from Delta var - Severe Disease,Protection from Delta var - Infection,Protection from Omicron var - Severe Disease,Protection from Omicron var - Infection,Ancestral-Protection from Severe Disease,Ancestral-Protection from Infection,Alpha-Protection from Severe Disease,Alpha-Protection from Infection,Beta-Protection from Severe Disease,Beta-Protection from Infection,Gamma-Protection from Severe Disease,Gamma-Protection from Infection,Delta-Protection from Severe Disease,Delta-Protection from Infection,Omicron-Protection from Severe Disease,Omicron-Protection from Infection,vaccine % in each country,Om-Sev-efficacypervaccine,Om-Inf-efficacypervaccine,Alpha-Sev-efficacypervaccine,Alpha-Inf-efficacypervaccine,Delta-Sev-efficacypervaccine,Delta-Inf-efficacypervaccine
3188,Argentina,10/13/22,Oxford/AstraZeneca,26759220,25153667.0,16858309.0,25153667.0,16858309.0,25153667.0,18463862.0,25153667.0,18463862.0,25153667.0,18463862.0,18999046.0,9633319.0,0.94,0.63,0.94,0.63,0.94,0.69,0.94,0.69,0.94,0.69,0.71,0.36,0.2438238089098933,0.17311490432602425,0.08777657120756159,0.22919438037529968,0.1536089996132328,0.22919438037529968,0.16823842814782636
3196,Argentina,10/14/22,Sputnik V,20742641,19083230.0,17838671.0,19083230.0,17838671.0,18460950.0,17631245.0,18460950.0,17631245.0,18460950.0,17631245.0,13897569.0,9126762.0,0.92,0.86,0.92,0.86,0.89,0.85,0.89,0.85,0.89,0.85,0.67,0.44,0.1890021359169108,0.12663143106433025,0.08316093980344076,0.17388196504355796,0.1625418368885433,0.16821190096605063,0.1606518155293742
3197,Argentina,10/15/22,CanSino,979735,646625.0,607436.0,646625.0,607436.0,627030.0,597638.0,627030.0,597638.0,627030.0,597638.0,470273.0,313515.0,0.66,0.62,0.66,0.62,0.64,0.61,0.64,0.61,0.64,0.61,0.48,0.32,0.008927118182904223,0.004285016727794026,0.0028566778185293512,0.005891898000716787,0.005534813273400618,0.0057133556370587025,0.005445542091571575
3201,Argentina,10/16/22,Moderna,13252207,12854641.0,12192030.0,12854641.0,12192030.0,12854641.0,12059508.0,12854641.0,12059508.0,12854641.0,12059508.0,9674111.0,6361059.0,0.97,0.92,0.97,0.92,0.97,0.91,0.97,0.91,0.97,0.91,0.73,0.48,0.12075103785545133,0.08814825763447946,0.05796049817061663,0.11712850671978778,0.11109095482701523,0.11712850671978778,0.10988344444846071
3202,Argentina,10/16/22,Pfizer/BioNTech,19136214,18179403.0,16457144.0,18179403.0,16457144.0,18179403.0,16074420.0,18179403.0,16074420.0,18179403.0,16074420.0,13778074.0,8419934.0,0.95,0.86,0.95,0.86,0.95,0.84,0.95,0.84,0.95,0.84,0.72,0.44,0.17436474551929484,0.12554261677389228,0.07672048802848973,0.1656465082433301,0.14995368114659358,0.1656465082433301,0.14646638623620767
3203,Argentina,10/16/22,Sinopharm/Beijing,28878166,21081061.0,19637153.0,21081061.0,19637153.0,20503498.0,19348371.0,20503498.0,19348371.0,20503498.0,19348371.0,15305428.0,10107358.0,0.73,0.68,0.73,0.68,0.71,0.67,0.71,0.67,0.71,0.67,0.53,0.35,0.2631311536155455,0.13945951141623913,0.09209590376544093,0.19208574213934823,0.17892918445857095,0.1868231190670373,0.1762978729224155
3598,Austria,9/16/22,Oxford/AstraZeneca,1592629,1497071.0,1003356.0,1497071.0,1003356.0,1497071.0,1098914.0,1497071.0,1098914.0,1497071.0,1098914.0,1130767.0,573346.0,0.94,0.63,0.94,0.63,0.94,0.69,0.94,0.69,0.94,0.69,0.71,0.36,0.08223606349751882,0.058387605083238356,0.029604982859106774,0.07730189968766768,0.05180872000343686,0.07730189968766768,0.05674288381328798
3615,Austria,10/4/22,Johnson&Johnson,368082,316551.0,265019.0,316551.0,265019.0,279742.0,235572.0,279742.0,235572.0,279742.0,235572.0,209807.0,121467.0,0.86,0.72,0.86,0.72,0.76,0.64,0.76,0.64,0.76,0.64,0.57,0.33,0.01900606778119306,0.010833458635280043,0.00627200236779371,0.01634521829182603,0.013684368802459003,0.014444611513706726,0.01216388337996356
3616,Austria,10/4/22,Moderna,1646408,1597016.0,1514695.0,1597016.0,1514695.0,1597016.0,1498231.0,1597016.0,1498231.0,1597016.0,1498231.0,1201878.0,790276.0,0.97,0.92,0.97,0.92,0.97,0.91,0.97,0.91,0.97,0.91,0.73,0.48,0.08501296462065111,0.062059464173075306,0.04080622301791253,0.08246257568203158,0.07821192745099903,0.08246257568203158,0.0773617978047925
3617,Austria,10/4/22,Novavax,14312,12738.0,11879.0,12738.0,11879.0,12308.0,11736.0,12308.0,11736.0,12308.0,11736.0,9303.0,6154.0,0.89,0.83,0.89,0.83,0.86,0.82,0.86,0.82,0.86,0.82,0.65,0.43,0.000739006096697027,0.00048035396285306755,0.0003177726215797216,0.000657715426060354,0.0006133750602585323,0.0006355452431594432,0.0006059849992915621
